CODE,COUNTRY,SUB-CHAPTER,TITLE,UNIT,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,Unnamed: 73
EU27.1.0.0.0.UVGD,European Union,01 Gross domestic product,Gross domestic product at current prices,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5760.09707,6031.35511,6341.07375,6639.73034,6823.10357,7113.40315,7442.79734,7884.96441,8260.28282,8559.61455,8792.71175,9195.74762,9600.07951,10160.79578,10788.34776,11136.83499,10650.84273,11046.43292,11407.54381,11466.48532,11594.68282,11867.90589,12308.81092,12638.42179,13169.0369,13628.00709,14122.00353,13579.23815,14792.34448,16170.26705,17257.83515,18015.42995,18783.73542,19526.14259,20262.86888,
EU15.1.0.0.0.UVGD,European Union (15 countries),01 Gross domestic product,Gross domestic product at current prices,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6244.16991,6497.65496,6516.07457,6814.39266,7068.13551,7427.85708,7838.29495,8189.00311,8618.3458,9226.32415,9580.53275,9893.0353,10049.67121,10528.01566,10929.92105,11519.00976,12114.00691,12077.29908,11446.7299,11908.3947,12255.86629,12503.22558,12605.68073,13062.1319,13768.60708,13864.11355,14227.12607,14643.8079,15146.73684,14459.23471,15823.16173,17291.37585,18265.20359,19087.69031,19809.0525,20436.24411,21129.57854,
EA19.1.0.0.0.UVGD,Euro area (19 countries),01 Gross domestic product,Gross domestic product at current prices,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5257.64076,5485.27712,5744.01848,5987.40792,6132.68896,6381.16016,6682.07015,7036.94316,7368.51902,7619.73668,7844.56493,8180.12381,8482.93284,8940.63754,9436.1811,9671.41429,9335.49427,9599.22088,9875.14911,9906.21691,10012.2564,10254.05198,10616.22224,10904.86846,11318.04075,11694.02392,12084.51627,11565.08458,12560.30936,13690.31676,14584.46554,15145.40919,15713.12806,16268.56212,16831.42845,
EA20.1.0.0.0.UVGD,Euro area (20 countries),01 Gross domestic product,Gross domestic product at current prices,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5266.60361,5497.97012,5761.33943,6006.32512,6153.90139,6404.13639,6704.24201,7060.56921,7394.45562,7648.49759,7875.5813,8213.92673,8519.76777,8981.25869,9480.60431,9719.97087,9381.35536,9643.70694,9920.32801,9951.00839,10057.31794,10298.91985,10662.1879,10952.43438,11367.77324,11746.24062,12139.42179,11615.8286,12618.65245,13757.9298,14663.65187,15231.31442,15805.82752,16367.30281,16935.19895,
EA21.1.0.0.0.UVGD,Euro area (21 countries),01 Gross domestic product,Gross domestic product at current prices,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5280.04908,5509.83105,5775.8579,6016.03931,6163.91015,6417.57382,6717.04646,7075.00893,7410.36098,7665.9758,7894.37949,8235.02044,8543.80772,9008.66863,9513.06902,9757.21755,9418.77303,9681.99695,9961.80787,9993.26365,10099.37409,10341.94454,10707.98573,11001.18652,11420.27501,11802.24117,12200.61715,11677.6851,12689.99749,13844.00931,14758.17843,15336.08164,15920.00954,16488.64712,17062.17237,
EA12.1.0.0.0.UVGD,Euro area (12 countries),01 Gross domestic product,Gross domestic product at current prices,"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4898.33521,5163.42243,5219.27472,5439.52703,5689.55473,5927.39551,6064.10296,6306.93621,6605.112,6950.57398,7275.62699,7519.10702,7735.51688,8059.84126,8349.04717,8788.08178,9254.4904,9469.70252,9151.13353,9407.99543,9672.92092,9697.14957,9799.40928,10034.22127,10386.99063,10667.84774,11064.99893,11422.25995,11796.53904,11279.94104,12243.56934,13336.38443,14191.29191,14730.73907,15276.87537,15808.43263,16349.84249,
DU15.1.0.0.0.UVGD,EU15 (including D_W West-Germany),01 Gross domestic product,Gross domestic product at current prices,"Mrd ECU/EUR, Standard aggregation",314.87544,343.32573,374.61653,409.42698,453.65914,495.82938,536.31308,572.53493,623.05806,697.15309,786.21485,872.25621,970.71245,1122.81552,1302.81965,1464.07837,1679.59385,1859.49512,2044.88897,2324.92433,2622.80329,2907.72908,3179.40288,3396.2957,3688.04741,3963.43044,4187.21756,4410.30193,4818.37501,5280.60671,5686.27632,6076.49818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
DA12.1.0.0.0.UVGD,EA12 (including D_W West-Germany),01 Gross domestic product,Gross domestic product at current prices,"Mrd ECU/EUR, Standard aggregation",224.09835,247.02905,272.87207,300.84217,334.10731,365.70839,396.38283,424.77847,472.40489,531.66543,600.38451,667.37429,748.93666,886.49847,1036.14464,1158.71097,1339.39826,1488.65239,1634.66002,1840.90006,2034.32674,2210.56099,2429.62933,2610.05092,2832.36406,3023.36372,3276.18119,3449.25231,3704.96785,4063.66245,4429.85873,4730.66349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
BEL.1.0.0.0.UVGD,Belgium,01 Gross domestic product,Gross domestic product at current prices,Mrd EURO-BEF,14.96643,15.89375,16.991,18.27758,20.45717,22.2956,23.939,25.65904,27.43581,30.4319,33.8364,36.81781,40.86724,46.43509,54.13022,60.12429,68.33677,73.92116,79.10797,85.00634,91.93815,96.39247,104.30785,110.50498,119.38987,126.97826,132.9088,138.26452,147.93563,160.41113,170.09682,178.19756,187.12098,192.72141,203.1069,210.4891,214.2871,224.1015,232.6238,242.3076,256.3764,264.3349,273.2559,281.2002,296.8197,310.0376,325.1515,343.6189,351.7431,347.7349,363.2424,378.7454,387.9349,394.6163,404.9583,415.538,428.4671,443.4072,459.4918,479.4449,463.7509,506.0472,561.3091,602.3763,620.2718,642.13468,662.09039,684.75094,
BGR.1.0.0.0.UVGD,Bulgaria,01 Gross domestic product,Gross domestic product at current prices,Mrd EURO-BGN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03372,0.10083,0.14922,0.2221,0.39048,0.65224,1.11827,9.73109,13.5288,12.80425,14.38002,15.84324,17.41905,18.73267,21.06589,24.03953,27.40956,32.46422,37.24611,37.41709,38.28942,41.47923,42.25461,42.05551,43.02403,45.79712,48.75139,52.50097,55.99969,61.19442,61.85555,71.34395,86.07819,94.52511,104.76722,114.18202,121.34432,126.97342,
