name;name_bis;country;role_euro
warmup-search-xx1;NA;dummy;governor
warmup-search-xx2;NA;dummy;governor
Martin Kocher;NA;Austria;governor
Pierre Wunsch;NA;Belgium;governor
Dimitar Radev;NA;Bulgaria;governor
Ante Žigman;NA;Croatia;governor
Christodoulos Patsalides;NA;Cyprus;governor
Ülo Kaasik;NA;Estonia;governor
Olli Rehn;NA;Finland;governor
Emmanuel Moulin;NA;France;governor
Joachim Nagel;NA;Germany;governor
Yannis Stournaras;NA;Greece;governor
Gabriel Makhlouf;NA;Ireland;governor
Fabio Panetta;NA;Italy;governor
Martinš Kazaks;NA;Latvia;governor
Gediminas Šimkus;NA;Lithuania;governor
Gaston Reinesch;NA;Luxembourg;governor
Alexander Demarco;NA;Malta;governor
Olaf Sleijpen;NA;Netherlands;governor
Álvaro Santos Pereira;NA;Portugal;governor
Peter Kažimír;NA;Slovakia;governor
Primož Dolenc;NA;Slovenia;governor
José Luis Escrivá;jose luis escrivá;Spain;governor
Boris Vujcic;NA;Croatia;vice-president
Philip R. Lane;philip r lane;Ireland;chief economist
Christine Lagarde;NA;France;president
Isabel Schnabel;NA;Germany;executive board
Frank Elderson;NA;Netherlands;executive board
Piero Cipollone;NA;Italy;executive board
